gene	lowMean	highMean	logFC	pValue	fdr
AC083798.1	2.2641885377943	1.10305009208103	-1.03749578706419	7.89632797155798e-18	4.42976745359809e-17
ELFN1-AS1	1.37451350681537	3.64771114180479	1.40807040487787	0.000138260775889815	0.000209214248401765
LAMC1-AS1	1.65038039033457	0.812951841620626	-1.02155678820595	5.6304569137896e-28	1.11044040102524e-26
MIR4526	2.52357255266419	1.14693959484346	-1.13767815285906	2.52548487514516e-06	4.53367620788526e-06
SNORA38B	2.16937422552664	0.701590976058932	-1.62857684809664	2.44179040373827e-05	3.964692252732e-05
RN7SKP80	5.02470693928129	2.17064346224678	-1.21091667868754	4.74694475937008e-24	5.5366990750661e-23
SNORA54	8.07291192688971	0.61568379373849	-3.71282765340268	1.93760262470264e-08	4.27111863862195e-08
MEOX1	10.1635057311029	4.66345414364641	-1.12392728507605	7.18935391414372e-25	9.3697227574652e-24
IYD	0.746821127633209	1.65272872928177	1.14601530001439	6.30278369743405e-05	9.84572432326191e-05
P2RY12	2.96213203221809	1.48029576427256	-1.0007504915726	2.9783233752861e-39	3.83382822389382e-37
DIRAS3	11.9755366790582	4.08945515653775	-1.55010976229758	7.82401380770721e-24	8.85392535393683e-23
RNA5SP39	1.46223410780669	0.662159023941068	-1.1429246683024	1.43527054356176e-22	1.38653621606568e-21
FCER2	2.45639727385378	0.884043922651934	-1.47435395200521	1.32040057199894e-09	3.25748902091822e-09
AC000078.1	1.60856756505576	0.798876887661142	-1.00973143881627	1.46200678526348e-33	7.22510231827175e-32
COL28A1	2.24207596034696	0.999353038674033	-1.16576882666917	4.24410871886617e-31	1.39023017210522e-29
CDK5R2	0.579621096654275	1.73904475138122	1.58511304724829	0.000976136601016211	0.00136542537146402
NR4A1	43.9875495972739	21.5469474217311	-1.02961173996131	1.43195644463407e-16	7.08683740862459e-16
FIBCD1	1.84404488847584	4.5127349907919	1.29112828428813	1.96684107557143e-07	3.91878531242087e-07
SCARNA8	2.78152775712515	0.807255432780847	-1.78478035221583	2.04790560082199e-11	6.04264674175241e-11
AC004975.1	2.17570489467162	0.998728913443831	-1.12331784424496	4.54846749728863e-22	4.1501731982998e-21
FDCSP	1320.0267482342	424.09427771639	-1.6381102418274	7.93420143655556e-19	4.95496385550268e-18
TIMP4	16.2938640024783	7.91779779005525	-1.04115764337655	3.20664644257821e-15	1.37488584557785e-14
KRT1	48.9423933085502	1.47174116022099	-5.05548878421077	2.89052602930741e-08	6.27381373129315e-08
HNRNPA1P14	1.5899655204461	0.418265101289134	-1.92650594573539	2.6824328107402e-24	3.20972138774294e-23
MIR7152	1.46298732961586	0.616193186003683	-1.24746264094312	2.24906227038012e-17	1.20705322539955e-16
RNU6-282P	1.58046641883519	0.786058011049724	-1.00764268935674	7.72749451140988e-19	4.83293447880752e-18
B4GALNT2	0.927213661710037	3.41850635359116	1.88239237819465	1.97354098649129e-06	3.58005276130008e-06
CX3CR1	16.6565203841388	8.03657826887661	-1.05143376574866	6.70770035965904e-38	6.668312119175e-36
RNU6-100P	2.06762747831475	0.927005340699816	-1.15732672492497	3.84348992860478e-19	2.48374279248727e-18
RNU6ATAC16P	1.62380960346964	0.763458839779006	-1.08876019766359	3.76035817936771e-17	1.97294766827274e-16
CARMN	3.1410949504337	0.974220349907919	-1.68894752988277	5.05987371704321e-35	3.1924261673622e-33
SNORA74B	18.6740606567534	0.667258287292818	-4.80664654548667	0.0105932481714153	0.0132952106931173
ABCA6	2.27417853159851	1.0609573664825	-1.0999788315312	1.83074206089673e-36	1.43595681189327e-34
CGA	28.2353527571252	67.6645956721915	1.26089851034405	0.00143004536580428	0.00196562264548934
RNU6-343P	1.38574107806691	0.660210681399632	-1.06965933413081	6.03520143182544e-19	3.80515889685779e-18
AC022509.2	4.31800758983891	2.08340755064457	-1.05142069606081	1.4872917993437e-21	1.28310809671937e-20
HNRNPA1P49	1.43734984510533	0.688474493554328	-1.06193613881338	1.05817369561147e-31	3.80920253079169e-30
PTX3	14.5807856877323	4.92494502762431	-1.56588893522039	3.14010999352049e-23	3.31641388382995e-22
